,source,road,direction,f_system,urban_rural,class,miles,year,month_day,interval,day_string,date_time,travel_time_minutes,baseline_mean_TT,percent_change,impact_present,impact_subtype,corridor_response,impact_type,reference_period
97,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,01:00,Friday,2019-07-05 01:00:00,3.84,4.0275,-4.655493482309125,no,None,None,None,06/2019
98,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,02:00,Friday,2019-07-05 02:00:00,3.9199999999999995,3.9124999999999996,0.19169329073482022,no,None,None,None,06/2019
99,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,03:00,Friday,2019-07-05 03:00:00,3.94,3.8925,1.220295439948616,no,None,None,None,06/2019
100,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,04:00,Friday,2019-07-05 04:00:00,3.7900000000000005,3.8049999999999997,-0.3942181340341455,no,None,None,None,06/2019
101,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,05:00,Friday,2019-07-05 05:00:00,3.7600000000000002,3.8024999999999998,-1.1176857330703365,no,None,None,None,06/2019
102,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,06:00,Friday,2019-07-05 06:00:00,3.8000000000000003,3.8649999999999998,-1.6817593790426781,no,None,None,None,06/2019
103,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,07:00,Friday,2019-07-05 07:00:00,3.87,3.9600000000000004,-2.27272727272728,no,None,None,None,06/2019
104,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,08:00,Friday,2019-07-05 08:00:00,3.8400000000000003,3.8899999999999997,-1.2853470437017835,no,None,None,None,06/2019
105,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,09:00,Friday,2019-07-05 09:00:00,3.86,3.9349999999999996,-1.9059720457433225,no,None,None,None,06/2019
106,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,10:00,Friday,2019-07-05 10:00:00,3.89,3.9525,-1.5812776723592663,no,None,None,None,06/2019
107,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,11:00,Friday,2019-07-05 11:00:00,3.89,3.9849999999999994,-2.383939774153057,no,None,None,None,06/2019
108,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,12:00,Friday,2019-07-05 12:00:00,6.439999999999999,4.01,60.598503740648354,no,None,None,None,06/2019
109,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,13:00,Friday,2019-07-05 13:00:00,3.9599999999999995,4.1175,-3.825136612021863,no,None,None,None,06/2019
110,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,14:00,Friday,2019-07-05 14:00:00,3.99,4.397499999999999,-9.266628766344489,no,None,None,None,06/2019
111,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,15:00,Friday,2019-07-05 15:00:00,8.69,4.5225,92.1503593145384,no,None,None,None,06/2019
112,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,16:00,Friday,2019-07-05 16:00:00,10.649999999999999,4.454999999999999,139.0572390572391,no,None,None,None,06/2019
113,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,17:00,Friday,2019-07-05 17:00:00,4.089999999999999,4.434999999999999,-7.779030439684326,no,None,None,None,06/2019
114,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,18:00,Friday,2019-07-05 18:00:00,5.13,4.227499999999999,21.348314606741596,no,None,None,None,06/2019
